id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
817,37,Female,115734,87,2,50,Groceries,646.4
818,69,Male,129445,32,3,6,Home & Garden,42.19
822,26,Female,34901,31,7,9,Groceries,667.8
823,69,Male,85068,54,6,24,Sports,846.68
824,38,Female,81244,57,5,3,Home & Garden,301.59
825,30,Female,121358,16,1,2,Electronics,122.7
826,48,Male,111795,41,9,17,Groceries,116.19
828,34,Male,43316,72,7,13,Electronics,274.88
829,37,Male,112949,33,8,40,Home & Garden,424.07
830,28,Male,136418,17,5,17,Home & Garden,765.53
831,43,Female,76811,26,1,33,Home & Garden,836.5
833,43,Female,85487,71,7,49,Sports,625.26
834,38,Male,101111,98,8,35,Clothing,738.01
835,41,Female,68147,75,2,33,Groceries,553.35
837,69,Female,106629,4,7,9,Groceries,443.22
838,57,Male,98928,80,3,33,Electronics,934.98
839,43,Male,90687,9,5,24,Sports,531.25
840,58,Female,68764,96,6,31,Groceries,723.66
841,40,Male,125996,64,6,15,Clothing,583.95
842,33,Female,96916,23,6,12,Sports,373.49
844,43,Male,140638,62,10,18,Home & Garden,78.52
845,45,Female,57615,30,5,15,Electronics,998.09
847,22,Male,134801,47,1,49,Groceries,292.92
849,56,Female,86142,87,7,8,Sports,291.96
850,48,Female,126398,19,1,18,Clothing,311.08
852,64,Female,63123,88,1,16,Groceries,330.95
854,27,Female,40595,84,6,15,Groceries,268.76
855,18,Male,30102,35,2,6,Sports,739.27
857,19,Female,90561,75,10,23,Home & Garden,866.23
858,67,Male,115470,56,4,6,Clothing,151.74
859,22,Male,62752,2,10,22,Electronics,469.36
860,22,Male,46866,3,7,46,Electronics,737.44
862,20,Male,79899,64,7,46,Clothing,129.9
864,41,Male,92371,28,10,48,Electronics,594.96
866,22,Male,48068,57,2,24,Electronics,683.02
869,49,Female,61376,47,5,16,Home & Garden,241.25
871,57,Female,128481,86,10,40,Home & Garden,727.15
872,63,Male,33546,18,9,31,Sports,191.8
873,42,Female,127546,54,1,31,Clothing,484.72
874,35,Male,121037,70,1,28,Groceries,304.08
875,25,Female,76606,99,10,32,Home & Garden,472.4
877,51,Female,127950,27,3,45,Home & Garden,412.76
878,45,Female,51646,61,5,41,Home & Garden,246.41
879,51,Male,80995,68,1,18,Sports,863.54
881,47,Female,133264,93,2,21,Groceries,11.01
882,61,Male,49557,22,6,12,Clothing,678.13
884,50,Female,59695,70,5,6,Clothing,241.99
887,60,Male,98882,38,2,28,Groceries,940.14
888,29,Male,149973,2,2,19,Groceries,437.1
893,24,Female,60763,92,5,29,Home & Garden,320.7
895,27,Male,128640,3,5,2,Home & Garden,140.52
896,53,Male,137307,34,1,26,Sports,952.12
897,32,Male,81701,96,9,49,Electronics,77.45
899,48,Male,134463,32,2,7,Electronics,535.1
900,52,Female,41544,1,10,46,Home & Garden,720.52
901,57,Female,135440,46,8,3,Home & Garden,442.46
902,55,Female,72193,39,2,6,Home & Garden,207.44
904,64,Female,122557,87,2,5,Groceries,344.59
905,64,Male,139658,77,6,26,Sports,71.97
906,25,Male,130604,100,4,41,Electronics,355.45
909,27,Female,89618,49,8,12,Groceries,831.05
911,66,Female,55154,93,3,19,Electronics,684.88
912,54,Male,69676,9,7,30,Clothing,932.68
913,38,Male,45551,100,10,22,Electronics,99.63
914,55,Male,109314,72,10,47,Electronics,438.97
916,26,Male,131020,23,7,22,Groceries,844.88
918,36,Female,45458,74,6,19,Groceries,135.23
921,66,Male,122436,73,7,47,Home & Garden,666.62
922,58,Male,105157,51,3,27,Clothing,344.39
923,68,Male,107702,73,4,2,Sports,136.03
924,20,Male,88778,56,2,28,Groceries,240.93
926,39,Female,53091,41,9,3,Groceries,12.45
928,28,Male,134592,43,10,25,Clothing,557.04
929,35,Male,48768,43,2,5,Electronics,746.74
931,59,Male,48329,6,8,26,Home & Garden,36.76
933,18,Male,117893,84,3,24,Electronics,413.27
934,47,Male,138152,53,2,38,Groceries,129.08
936,51,Male,148784,17,1,50,Home & Garden,302.81
937,43,Female,42201,76,1,50,Home & Garden,106.48
939,37,Male,70213,84,3,37,Home & Garden,785.53
940,56,Female,51736,3,9,25,Home & Garden,666.01
941,54,Male,33706,64,9,1,Clothing,371.93
942,36,Male,33087,69,7,21,Sports,651.8
943,54,Female,140081,100,1,25,Electronics,30.51
945,65,Male,42779,81,5,38,Clothing,594.92
946,59,Male,149936,80,7,37,Groceries,406.6
952,29,Female,45164,54,8,45,Groceries,915.62
953,51,Male,104830,43,9,36,Sports,593.92
954,44,Male,123822,20,4,8,Electronics,209.75
955,30,Male,50661,89,9,22,Sports,630.37
957,60,Female,56429,69,9,32,Groceries,894.95
958,26,Female,41126,37,9,44,Clothing,100.64
959,38,Female,99054,59,6,4,Groceries,174.22
960,61,Female,50349,76,9,42,Clothing,957.5
961,23,Female,60808,96,2,12,Home & Garden,231.03
962,60,Male,98537,71,9,45,Groceries,725.67
963,66,Female,72885,1,9,33,Groceries,654.48
967,46,Female,67361,80,6,25,Sports,350.08
968,23,Female,74773,16,2,42,Groceries,626.05
970,68,Female,40471,28,3,33,Groceries,40.89
971,58,Female,51913,14,4,21,Home & Garden,733.63
972,41,Male,120294,79,5,44,Clothing,942.03
973,43,Male,130645,34,10,5,Groceries,833.69
975,49,Female,79546,26,5,12,Home & Garden,935.73
976,30,Male,54930,12,9,13,Electronics,724.88
977,37,Male,100314,71,5,19,Groceries,692.74
978,45,Female,91381,48,8,16,Sports,253.13
979,66,Female,74055,100,6,17,Sports,318.7
980,45,Female,135047,11,9,42,Clothing,422.93
981,30,Male,117373,32,1,49,Home & Garden,129.35
983,68,Female,117203,76,7,38,Electronics,363.94
987,22,Male,80049,1,10,47,Sports,16.97
988,26,Male,148451,78,5,14,Groceries,99.19
989,26,Male,45147,93,1,32,Home & Garden,750.58
993,22,Female,125479,57,8,27,Home & Garden,139.75
994,29,Female,64799,42,5,19,Electronics,967.26
995,60,Male,71923,25,2,40,Clothing,986.97
996,57,Male,112170,57,6,1,Clothing,313.64
998,23,Male,113097,40,5,42,Sports,75.09
999,22,Female,113695,63,7,44,Electronics,505.16
1000,36,Female,90420,7,2,31,Groceries,669.26
